Demographic/Socioeconomic Characteristic,Total,Any Mental Illness,Serious Mental Illness,Any Mental Ilness Excluding Serious Mental Illness,No Mental Illness
TOTAL,12.15,35.95,57.7,29.1,6.5
AGE GROUP,,,,,
18-25,11.1,28.85,43.9,22.6,4.85
26 or Older,12.3,37.6,61.8,30.45,6.8
26-49,12.8,36.35,58.05,28.85,6.05
50 or Older,11.8,39.4,69.1,32.5,7.35
GENDER,,,,,
Male,8.15,28.25,49.65,22.3,4.5
Female,15.85,40.8,62.05,33.5,8.55
HISPANIC ORIGIN AND RACE,,,,,
Not Hispanic or Latino,13.15,37.55,59.1,30.6,7.25
White,15.35,41.5,62.1,34.6,8.65
Black or African American,6.3,23.7,46.65,17.2,2.95
AIAN,10.7,,,,4.3
NHOPI,5.05,,,,0.65
Asian,3.35,14.15,,11.1,1.45
Two or More Races,13.55,28.75,,20.1,7.7
Hispanic or Latino,6.7,25.75,47.75,19.85,3
HEALTH INSURANCE2,,,,,
Private,11.9,36.1,58.25,31.7,6.95
Medicaid/CHIP,15.6,41.05,63.6,31.8,6.1
Other3,12.75,41.15,72.55,32.15,7.25
No Coverage,6.55,21.65,37.35,15.45,2.35
CURRENT EMPLOYMENT,,,,,
Full-Time,10.4,32.3,51.3,27.05,5.8
Part-Time,14.25,36.3,55.35,29.7,7.95
Unemployed,12.25,31.9,50.3,24.45,4.9
Other4,13.85,41.35,67.75,32.5,7.2
