Demographic Characteristic,Any 2017,Any 2018,Serious 2017,Serious 2018,Excluding 2017,Excluding 2018,None 2017,None 2018
TOTAL,18.90,19.10,4.50,4.60,14.30,14.60,81.10,80.90
AGE GROUP,,,,,,,,
18-25,25.80,26.30,7.50,7.70,18.30,18.60,74.20,73.70
26 or Older,17.80,18.00,4.10,4.10,13.70,13.90,82.20,82.00
26-49,22.20,22.50,5.60,5.90,16.60,16.70,77.80,77.50
50 or Older,13.80,14.00,2.70,2.50,11.10,11.50,86.20,86.00
GENDER,,,,,,,,
Male,15.10,15.20,3.30,3.40,11.90,11.90,84.90,84.80
Female,22.30,22.80,5.70,5.70,16.60,17.10,77.70,77.20
HISPANIC ORIGIN AND RACE,,,,,,,,
Not Hispanic or Latino,19.60,19.60,4.80,4.80,14.80,14.80,80.40,80.40
White,20.40,20.40,5.20,5.10,15.30,15.30,79.60,79.60
Black or African American,16.20,16.20,3.50,3.60,12.80,12.60,83.80,83.80
AIAN,18.90,22.10,5.10,6.40,13.80,15.60,81.10,77.90
NHOPI,19.40,21.10,4.80,4.50,14.60,16.50,80.60,78.90
Asian,14.50,14.70,2.40,2.10,12.10,12.50,85.50,85.30
Two or More Races,28.60,26.80,8.10,7.10,20.50,19.70,71.40,73.20
Hispanic or Latino,15.2a,16.90,3.20,3.60,12.00,13.30,84.80,83.10
CURRENT EMPLOYMENT,,,,,,,,
Full-Time,17.00,17.60,3.70,3.90,13.30,13.70,83.00,82.40
Part-Time,22.10,22.00,5.60,5.80,16.50,16.20,77.90,78.00
Unemployed,26.60,27.60,7.50,7.90,19.10,19.70,73.40,72.40
Other1,19.40,19.30,5.00,4.70,14.40,14.60,80.60,80.70
